names,clubs,ages,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB,AerialsWon,MotM
Kristijan Jakic,Eintracht Frankfurt,25,36,2109,1.6,0.5,1,0.2,1.9,0.4,0,6.42,1,0,0.3,0.2,0.3,0.3,0,0.2,0.5,36.8,77,0.1,1.5,0,1,0
Renan Lodi,Nottingham Forest,25,27,1907,1.8,1.2,0.8,0.1,2,0.3,0,6.58,1,0,0.5,0.4,0.6,1.7,0,0.4,0.7,25.8,75.1,0.5,1.4,0,0.6,1
Gorka Guruzeta,Athletic Bilbao,26,25,898,0.7,0.2,1,0,0.1,0.1,0,6.52,6,1,1.8,0.3,0.1,0.4,0.6,0.9,1.2,10.7,73.3,0,0.4,0,1,2
Elbasan Rashani,Clermont Foot,29,26,1760,1.1,0.7,1,0,0.5,0.1,0,6.57,4,2,1.2,0.4,0.6,0.9,0.1,0.8,1.7,20.8,79.1,0.2,0.3,0,0.7,0
Monchu,Real Valladolid,23,25,1395,1.6,0.6,1.4,0,0.6,0.4,0,6.52,2,1,1,0.8,0.2,0.6,0,0.5,0.9,27.7,83.3,0.8,2.8,0.1,0.4,1
Tommaso Augello,Sampdoria,28,30,2258,0.5,0.3,0.5,0.3,1.2,0.3,0,6.52,2,4,0.3,1,0.9,0.5,0,0.5,0.5,35.2,77.4,1.1,1.8,0,1,0
Salih Özcan,Borussia Dortmund,25,37,2302,1.4,1.2,0.9,0,0.7,0.1,0,6.63,0,2,0.2,0.6,0.4,1.1,0,0.8,0.7,41.7,87.3,0.1,1.9,0,0.9,0
Edu Expósito,Espanyol,26,23,1033,1.4,0.5,0.6,0,0.9,0,0,6.52,3,2,0.7,0.7,0.3,1.2,0,0.5,1,18.1,77.1,0.3,1,0,0.5,1
Filip Djuricic,Sampdoria,31,33,1951,1.2,0.2,1.1,0,0.2,0.2,0,6.46,3,0,0.8,1.1,0.9,1.4,0,1.4,1.9,20.6,80.2,0.5,0.8,0,0.5,0
Isaac Success,Udinese,27,29,1701,0.3,0.1,1.1,0,0.6,0.1,0,6.52,1,6,1.1,1.1,1,2.6,0.4,1.5,3.2,18.9,66.9,0,0.6,0,1.3,0
Luka Lochoshvili,Cremonese,24,24,1381,1.8,1,1.4,0.1,3,0.5,0,6.50,1,1,0.3,0.2,0.3,0.4,0.1,0.2,0.5,30.1,79.1,0.1,1.1,0,1.4,0
Conor Gallagher,Chelsea,23,39,1379,1.2,0.5,0.7,0,0.4,0.1,0,6.49,1,1,0.7,0.7,0.6,1,0,0.7,0.8,19.2,83.2,0.5,0.4,0.1,0.5,1
Clément Lenglet,Tottenham,27,29,2145,1.8,0.8,1,0.4,2,0.4,0,6.59,1,2,0.4,0.3,0.2,0.7,0,0.1,0.5,53,87.1,0.3,3,0,1.5,0
Ansgar Knauff,Eintracht Frankfurt,21,27,1459,1.7,0.7,0.8,0,0.9,0.1,0,6.56,1,2,0.8,0.3,1,0.7,0,0.4,1.4,20.4,65.3,0.3,0.5,0,0.3,0
Fabio Depaoli,Verona,25,25,1692,1.6,0.5,1.2,0,1,0.2,0,6.52,2,2,0.7,0.7,0.4,1.2,0.1,0.6,1.2,17.2,66.6,0.8,1.1,0,0.8,0
Vincent Marchetti,AC Ajaccio,25,24,1919,1.9,0.6,1,0,0.6,0,0,6.52,0,1,1.4,0.5,1.5,1.2,0,1.4,1.6,36.2,80.7,0,2.6,0.2,0.1,0
Borja Mayoral,Getafe,26,28,2314,0.3,0.1,0.5,0,0.3,0,0,6.52,6,2,1.6,0.6,0.9,1.3,0.3,1.6,2.1,22.3,77.3,0.1,1,0,1.1,2
Rayan Aït-Nouri,Wolves,21,27,1273,1.8,0.6,0.8,0.1,1.1,0,1,6.68,2,1,0.6,0.5,1.3,0.5,0.1,0.7,1.3,24.3,82.6,0.5,0.5,0,0.8,1
Massadio Haïdara,Lens,30,30,1351,0.8,1.1,0.5,0,0.9,0.3,0,6.52,0,0,0.3,0.2,0.3,0.9,0.1,0.2,0.7,28.3,87.1,0.1,1.2,0,1.2,0
Romelu Lukaku,Inter,29,27,1204,0.2,0,0.6,0,0.6,0,0,6.64,10,2,1.8,0.8,0.4,0.1,0.4,0.7,1.3,10.8,69.1,0,0.3,0.1,1.4,1
Agustín Marchesín,Celta Vigo,35,20,1710,0,0,0,0,0.6,0,0,6.52,0,0,0,0,0,0.2,0,0,0,29.3,67.4,0,6.6,0,0.2,0
Aimar Oroz,Osasuna,21,22,1278,0.6,0.7,1.3,0,0.1,0,0,6.52,3,2,0.8,0.7,0.8,1.8,0.1,1.4,1.3,22.3,79.8,0,0.6,0,0.6,1
Djené Dakonam,Getafe,31,29,2169,0.9,1.3,1.3,0.8,2.5,0.4,0,6.52,0,1,0.3,0.2,0.4,1.3,0,0.5,0.6,34.1,78.8,0.3,2,0,1.8,1
Adam Webster,Brighton,28,26,1642,0.9,0.9,0.3,0.1,1.9,0.7,1,6.54,0,0,0.7,0.2,0.1,0.3,0,0.2,0.3,58.8,88.1,0,3.1,0,2.3,0
Marcus Ingvartsen,Mainz,27,23,1079,0.1,0.1,1.3,0,0.4,0,0,6.51,11,0,1.6,0.2,0.4,0.9,0.4,0.6,2.1,12.8,66.4,0,0.1,0,1.3,0
