names,clubs,ages,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB,AerialsWon,MotM
Yoann Salmier,Troyes,30,28,2422,1.6,1.3,1,0.4,3.9,0.6,0,6.44,1,0,0.5,0.2,0.2,1,0,0.2,0.3,47.8,83.5,0,2.6,0,1.7,0
Romain Perraud,Southampton,25,34,1957,1.5,0.6,1,0.1,1,0.2,1,6.40,4,2,1.1,0.5,0.3,0.5,0.1,0.5,1,23.9,76.1,0.4,0.6,0,0.5,1
Henning Matriciani,Schalke,23,16,1390,2.3,1,0.8,0.6,2.3,0.6,0,6.44,0,0,0.1,0.1,0.3,0.4,0,0.3,0.8,34,76.1,0.1,2.1,0,1.7,0
Jørgen Strand Larsen,Celta Vigo,23,31,1732,0.5,0.1,1.1,0,0.9,0.1,0,6.47,3,5,1.3,0.5,0.5,1.5,0.4,0.8,2.2,11.1,68.3,0,0.4,0,1.3,1
Iván Martín,Girona,24,15,864,0.3,0.2,0.7,0,0.5,0,0,6.44,3,1,0.8,0.5,0.9,0.4,0.2,1.4,1.5,23.4,83.5,0.2,0.5,0,0.5,0
Rayan Raveloson,Auxerre,26,31,1713,1,1.2,0.8,0.2,1.8,0.2,1,6.44,1,1,0.8,0.3,0.2,0.9,0,0.5,1.2,26.1,83,0.2,2.1,0,0.7,1
Julien Ponceau,Lorient,22,28,1513,0.9,0.5,0.7,0,0.4,0.1,0,6.44,1,4,0.5,0.9,0.3,0.9,0.1,0.7,1.3,25.6,82.9,0,0.8,0,0.2,0
Unai García,Osasuna,31,21,1545,1.1,0.9,1,0.6,2.8,0.6,0,6.44,0,1,0.2,0.2,0.3,0.2,0,0.3,0.3,39,80.2,0.1,3.6,0,1.8,0
Alejandro Pozo,Almeria,24,22,1254,1.2,0.9,0.3,0.2,1,0.2,0,6.44,0,2,0.4,0.8,0.4,0.5,0,0.4,1,26.7,73,0.6,1.7,0,0.3,0
Luis Hernández,Cadiz,33,26,2340,0.9,0.8,0.6,0.3,3.9,0.7,0,6.44,0,0,0.2,0.3,0.1,0.2,0.1,0.1,0.1,35.6,78.6,0.2,3.3,0,1.2,0
Bartosz Bereszynski,Sampdoria,30,25,1871,1.8,1.2,1,0.3,1.7,0.3,0,6.43,0,0,0.1,0.1,0.2,0.8,0,0.4,0.8,31.7,76.8,0.2,1.1,0,1.3,0
Sofyan Amrabat,Fiorentina,26,40,2349,1.4,0.8,1.7,0,0.8,0.2,0,6.47,0,0,0.3,0.4,0.3,1,0,0.6,0.9,46.9,88.2,0.3,3.5,0,0.4,0
Emanuele Valeri,Cremonese,24,31,2103,1.4,0.5,0.7,0.1,1.1,0.1,0,6.43,2,2,1.2,1.4,0.3,1.1,0.1,0.7,1.7,21,61.5,1,1.3,0,0.4,0
Petar Stojanovic,Empoli,27,28,2009,1.7,0.5,0.6,0.3,1.9,0.1,0,6.57,1,3,0.5,0.9,1,0.7,0,0.9,0.9,35.9,79.7,0.3,2.5,0.1,0.2,1
Cheikhou Kouyaté,Nottingham Forest,33,18,913,1.2,0.7,1.2,0.1,1.4,0.2,0,6.51,1,0,0.4,0.4,0.5,0.6,0.1,0.3,0.9,16.4,76.7,0.1,0.6,0,1.2,0
Amadou Haidara,RBL,25,38,1361,1,0.9,0.8,0,0.5,0.2,0,6.48,2,1,0.7,0.3,0.2,0.3,0,0.4,0.6,25.5,85,0,1,0.1,0.7,0
Fabio Miretti,Juventus,19,30,1207,0.8,0.1,0.9,0,0.2,0.1,0,6.33,0,2,0.8,0.6,0.6,0.9,0,0.9,1.4,17.9,74.1,0.3,0.5,0,0.3,0
Óscar Gil,Espanyol,24,24,1863,1.9,1,1.5,0.2,1.3,0.5,0,6.43,0,1,0.4,0.4,0.6,1.2,0,0.4,1.6,22.5,79.3,0.2,1.1,0,0.4,0
Edinson Cavani,Valencia,36,27,1179,0.2,0.1,0.7,0.1,0.4,0.1,0,6.40,9,1,1.5,0.8,0.2,0.4,0.6,0.4,1.4,15.1,74.4,0,1,0.1,0.7,0
Michele Castagnetti,Cremonese,33,22,930,1.4,0.6,0.7,0,0.8,0.1,0,6.43,0,1,0.6,1.1,0.2,0.6,0,0.1,0.7,28.9,79.5,0.4,1.3,0.1,0.4,0
Robert Sánchez,Brighton,25,23,1980,0,0.1,0,0,0.5,0,0,6.43,0,0,0,0,0,0,0,0,0,29.3,73.6,0,3.3,0,0.3,0
Mickaël Alphonse,AC Ajaccio,33,25,1247,1.4,1.5,0.7,0.3,1.6,0.2,1,6.43,0,0,0.4,0.4,0.4,0.6,0,0.6,0.6,21,70.3,0.2,1,0,1.3,1
Jesús Navas,Sevilla,37,33,2058,0.6,0.7,0.2,0.2,1,0.3,1,6.42,0,1,0.3,0.9,0.3,1,0.3,0.4,0.6,33.3,81.9,0.7,1.8,0,0.4,0
Colin Dagba,Strasbourg,24,16,711,1.6,0.7,0.8,0.3,0.6,0.1,0,6.43,0,0,0.1,0.7,0.5,0.3,0.1,0.3,0.4,17.8,85.3,0.5,0.3,0,0.2,0
Conor Coady,Everton,30,24,2050,0.7,0.6,0.5,0.3,3.7,0.7,0,6.45,2,1,0.3,0.2,0,0.6,0.1,0.1,0.3,52.6,85.3,0,4.6,0,1,0
Komnen Andric,Clermont Foot,27,28,1379,0.5,0.3,0.5,0,0.4,0,0,6.43,4,3,1,0.5,0.2,1.4,0.2,1,1.6,14.6,75.3,0,0.6,0,1.5,0
Arbër Zeneli,Reims,28,28,1201,0.4,0.1,0.3,0,0.1,0,0,6.40,1,2,1.4,0.9,0.8,0.6,0.1,0.9,2.1,16.1,75.5,0.4,0.3,0.1,0.1,1
Trevoh Chalobah,Chelsea,23,24,1430,0.9,0.9,0.4,0.1,2.4,0.4,1,6.49,0,0,0.4,0.2,0.1,0.3,0,0.2,0.4,41,89.4,0,1.7,0,1.3,0
Ross Barkley,Nice,29,21,684,0.5,0.2,0.5,0,0.2,0,0,6.43,3,2,1.3,0.8,0.3,0.5,0,1,0.5,15.5,83.7,0.3,0.6,0,0.1,0
Ederson,Man City,29,42,3420,0.1,0,0,0,0.7,0,0,6.49,0,1,0,0,0,0.1,0,0,0,30.4,84.8,0,5,0,0.2,0
Alexander Hack,Mainz,29,20,1127,1.6,1.3,1.4,0.3,2.3,0.3,0,6.43,1,0,0.2,0.2,0.1,0.7,0.1,0.1,0.2,31.8,74.1,0.1,3.7,0,1.8,0
Lucas Perrin,Strasbourg,24,19,1147,1.7,1,0.7,0.5,1.6,0.3,0,6.42,0,0,0.1,0.2,0.2,0.7,0,0.2,0.2,27.9,82.5,0.1,2.2,0,1.3,0
Francis Coquelin,Villarreal,31,16,746,1.1,0.6,0.7,0.1,0.4,0.1,0,6.42,1,0,0.4,0.4,0.1,0.4,0,0.9,1.1,18.9,87.4,0.1,0.4,0.1,0.4,0
Miha Blazic,Angers,29,28,2202,0.3,1,0.5,0.4,2.9,0.8,1,6.37,2,0,0.3,0,0,0.7,0,0,0.1,48.2,83.8,0,3.5,0,1.7,0
Mitchel Bakker,Leverkusen,22,29,1729,0.8,0.5,0.7,0,0.7,0.1,0,6.49,3,2,0.8,0.8,0.6,0.5,0.2,0.6,1,30.2,78.8,0.3,1,0,0.6,0
Michail Antonio,West Ham,33,31,1428,0.5,0.2,0.9,0,0.2,0.1,0,6.50,7,2,1.3,0.5,0.6,1.2,0.4,1.4,2.1,9,55.1,0.1,0.2,0,1.4,0
Haris Belkebla,Brest,29,30,1991,2.1,1.3,0.8,0.1,0.4,0.1,0,6.42,1,0,0.3,0.3,0.2,1.3,0,0.7,1,29.4,84.6,0.1,1.3,0,0.5,0
Mattia Caldara,Spezia,28,20,1250,1.2,0.8,0.8,0.6,4.5,0.8,1,6.42,0,0,0.6,0.1,0.1,0.5,0.1,0.2,0.5,30.6,77.3,0,1.6,0,1.8,0
Javier Puado,Espanyol,24,29,1691,0.5,0.3,0.4,0,0.3,0,0,6.42,4,2,1.5,0.6,0.6,0.6,0.1,0.8,2.2,13.9,80.1,0.2,0.4,0,0.5,0
Federico Di Francesco,Lecce,28,28,1554,0.8,0.2,1.2,0,0.4,0,0,6.42,2,2,1.1,0.8,0.5,0.7,0.3,0.8,1.6,13.1,74.4,0.1,0.3,0.1,0.2,1
Joakim Maehle,Atalanta,25,39,2379,1.1,0.8,0.6,0,0.7,0.2,0,6.55,2,4,1,0.9,0.7,0.6,0.1,0.8,1.5,34.2,81.9,0.2,1,0.1,0.2,0
Adrien Tameze,Verona,29,28,2284,1.3,1,0.9,0,1.6,0.4,0,6.42,0,0,0.3,0.6,0.7,0.9,0,0.9,1.1,29.8,77.1,0.1,1.7,0,0.9,0
Soualiho Meïté,Cremonese,29,25,1562,1.5,0.8,1,0,0.8,0.1,0,6.41,0,1,0.6,0.5,0.8,1.3,0,1,0.9,29.5,83.8,0.1,1.1,0,0.9,0
James Milner,Liverpool,37,34,1022,1,0.4,0.6,0.1,0.4,0.1,0,6.39,0,2,0.2,0.5,0.4,0.4,0,0.6,0.5,20.1,82.5,0.4,1.1,0,0.4,0
Kingsley Ehizibue,Udinese,27,26,1269,1.6,0.4,1.3,0.1,1.2,0.1,0,6.40,2,0,0.3,0.3,0.3,0.8,0,0.4,0.7,16.3,74,0.3,0.6,0,0.6,1
Stefan Mitrovic,Getafe,32,20,1444,0.4,0.6,0.5,0.8,3.7,0.4,0,6.40,0,0,0.1,0,0.1,0.2,0,0,0.1,32.7,84.2,0,2.9,0,1.5,0
Jan Thielmann,FC Koln,20,19,576,0.5,0.3,0.4,0,0.3,0.1,0,6.41,1,1,0.6,0.2,0.8,0.8,0.5,0.3,1.3,7.9,67.5,0.4,0.3,0,0.4,1
Dylan Bronn,Salernitana,27,23,1635,1.5,0.8,1.1,0.4,2,0.9,0,6.40,0,0,0.4,0.2,0.2,0.4,0,0.2,0.2,40.9,84.7,0,2.5,0,1.4,0
Nicolas Jackson,Villarreal,21,19,841,0.4,0.1,1.4,0.1,0.1,0.1,0,6.37,3,2,1,0.5,0.5,0.7,0.4,1.4,2,9.5,75.3,0.1,0.2,0,0.3,0
Jeremy Toljan,Sassuolo,28,23,2039,1.3,0.6,0.3,0.3,1,0.4,0,6.41,0,1,0.2,0.9,0.2,0.5,0,0.4,1,41.9,82.2,0.3,2.1,0.1,0.3,0
Odilon Kossounou,Leverkusen,22,29,1799,1,0.8,0.7,0.2,2.2,0.2,0,6.44,0,1,0.1,0.2,0.3,0.2,0,0.5,0.8,40.4,83.1,0,1.5,0,1.2,0
Toni Lato,Valencia,25,18,650,1.1,0.3,0.3,0.1,0.6,0.1,0,6.41,1,0,0.4,0.7,0.2,0.4,0.3,0.1,0.4,18.6,85.5,0.3,0.6,0.1,0.1,1
Paul Seguin,Union Berlin,28,22,650,0.8,0.3,0.7,0,0.4,0,0,6.41,1,3,0.8,0.5,0.4,0.2,0,0.3,0.4,15.2,69.1,0.4,0.4,0.2,0.6,0
Maximilian Bauer,Augsburg,23,22,1412,1.1,1,0.7,0.5,3,0.4,0,6.41,0,1,0.4,0.1,0,1,0,0.1,0.3,28,72.5,0,2.2,0,2.8,0
Kevin Paredes,Wolfsburg,19,20,412,0.6,0.3,0.2,0,0.3,0,0,6.41,1,3,0.2,0.6,0.1,0.6,0.1,0.2,0.4,7.5,79.3,0.3,0.3,0,0.2,0
Charles De Ketelaere,AC Milan,22,37,1198,0.8,0.2,0.6,0,0.2,0.1,0,6.31,0,1,0.5,0.5,0.8,0.4,0.1,0.9,0.8,10.9,77.5,0,0.3,0.1,0.5,0
Óscar Mingueza,Celta Vigo,23,19,1145,1.8,0.6,0.9,0.2,1.2,0.2,0,6.40,0,0,0.3,0.6,0.5,0.3,0.1,0.6,1,36.3,83.8,0.3,2.1,0.1,0.4,0
Simon Terodde,Schalke,35,28,1420,0.5,0.2,1.1,0,0.2,0.1,0,6.40,3,0,1.4,0.5,0.1,0.9,0.9,0.5,1.2,9.5,67.2,0,0.1,0,2,2
Josuha Guilavogui,Wolfsburg,32,18,632,0.8,0.8,1.4,0.3,1.6,0.4,0,6.40,1,0,0.2,0.3,0.1,0.4,0.1,0.3,0.4,21.4,78.4,0,1.6,0,1.8,0
Wilson Odobert,Troyes,18,27,1346,0.7,0.5,0.3,0,0.1,0,0,6.40,3,2,0.9,0.7,0.8,0.4,0.1,0.9,1.4,13.8,78.8,0.3,0.3,0,0.2,0
Jean-Victor Makengo,Udinese,24,27,1604,1.1,0.7,0.8,0,0.5,0.2,0,6.52,0,1,0.4,0.5,1,1.3,0,1,1,26.4,85.9,0,0.3,0,0.3,0
Oliver Christensen,Hertha Berlin,24,29,2610,0,0,0,0,1,0,0,6.43,0,0,0,0,0,0.2,0,0,0,31.9,59.8,0,7.4,0,0.2,1
Adrien Hunou,Angers,29,27,1816,1.3,0.2,0.4,0,0.3,0,0,6.40,3,1,1.5,0.6,0.4,1.6,0.2,0.8,1.8,21.3,75.2,0.1,0.3,0,0.6,0
Kiko Femenía,Villarreal,32,16,903,0.6,0.9,0.4,0.4,1.1,0.3,0,6.40,0,0,0,0.4,0.3,0.5,0,0.4,0.4,30.6,88.2,0.3,0.8,0,0.5,0
Arne Maier,Augsburg,24,27,1512,1.1,0.5,0.5,0,0.5,0,0,6.40,3,0,0.9,0.8,0.4,0.6,0,1,1.4,20.1,71.6,0.4,1,0,0.5,1
Mathys Tel,Bayern,17,20,428,0.1,0.1,0.4,0,0.1,0.1,0,6.37,4,0,1,0.4,0.4,0.3,0.2,0.7,1.1,8.6,81.9,0.1,0,0,0.6,0
Tobias Mohr,Schalke,27,17,788,0.4,0.5,0.3,0.1,1,0.3,0,6.40,0,2,0.7,1.1,0.3,0.2,0,0.4,0.5,20.4,68.2,1,2.3,0.1,0.4,0
Kieffer Moore,Bournemouth,30,31,1737,0.6,0.2,1.3,0.1,1.1,0.2,0,6.46,6,0,1.1,0.3,0.1,1.3,0.2,1.2,1.8,15.1,58.1,0.1,0.3,0,2.9,1
Stanley Nsoki,Hoffenheim,24,19,1254,1.2,1.4,0.8,0.4,1.9,0.2,0,6.38,1,0,0.4,0.2,0.7,0.5,0,0.2,0.8,44.5,81.9,0,2.5,0,1.2,0
Juan Cruz,Osasuna,30,24,1622,0.9,0.6,0.8,0.5,1.8,0.3,0,6.40,0,0,0.1,0.7,0.3,0.4,0.1,0.2,0.8,30.9,80.3,0.6,1,0,0.7,0
Ryan Sessegnon,Tottenham,22,23,1056,1.2,0.4,1.1,0.1,1.1,0,0,6.38,2,0,0.9,0.4,0.3,0.5,0.4,0.6,0.8,17.1,74.6,0.2,0.4,0.1,0.5,0
Martín Satriano,Empoli,22,27,1639,0.5,0.1,0.6,0,0.7,0,0,6.40,2,1,1.3,0.5,0.6,1,0.2,1.6,1.9,12.7,68.8,0,0.2,0,1.6,0
Thomas Mangani,AC Ajaccio,35,20,915,1,1.1,1,0,0.6,0.1,0,6.40,1,1,0.4,1.2,0.2,0.4,0,0.2,0.4,30.3,71.1,1.1,2.8,0.1,1,0
Julian Jeanvier,Auxerre,31,17,1401,1.7,1.2,1.1,0.3,4.2,0.7,0,6.39,1,0,0.5,0.1,0.1,0.6,0,0.1,0.4,38.3,84.6,0,2.8,0,1.1,0
Adrien Thomasson,Strasbourg,29,29,1682,1.3,0.3,1.1,0,0.3,0,0,6.56,3,5,1,1,0.5,1.2,0.2,1,1.3,30.8,80.7,0.3,0.7,0,0.5,0
Luca de la Torre,Celta Vigo,24,19,874,1.1,0.3,1.1,0,0.2,0.1,0,6.39,0,2,0.5,0.6,0.4,0.3,0.1,0.4,1.1,18.2,85.5,0.1,0.3,0.1,0.1,0
Scott McKenna,Nottingham Forest,26,26,2047,0.7,0.7,0.5,0.4,4,0.6,0,6.47,1,0,0.2,0.3,0.2,0.2,0,0.1,0.2,40.4,81.4,0,2.1,0,2,0
Thierno Baldé,Troyes,20,25,1804,1,0.8,0.3,0.2,1.1,0.1,0,6.39,0,0,0.3,0.6,1.2,1.1,0.1,0.4,1.2,26.1,83.1,0.2,0.6,0,0.3,0
Sergi Gómez,Espanyol,31,22,1681,1,1,0.3,0.7,4.1,0.5,0,6.39,0,0,0.3,0.1,0,0.2,0,0,0.2,38.2,85.5,0,3.1,0,1.6,0
Gauthier Gallon,Troyes,29,23,2070,0.1,0.1,0,0,1,0,0,6.39,0,0,0,0,0,0.1,0,0,0,25.7,61.5,0,4.1,0,0.5,0
Luca Zanimacchia,Cremonese,24,26,748,1.4,0.6,0.6,0.1,0.3,0,0,6.39,1,0,1.3,0.9,0.3,0.7,0.1,0.8,1.3,17.5,74.9,0.9,0.4,0,0.2,0
Pathé Ciss,Rayo Vallecano,29,29,1183,1.3,0.7,1.2,0,1.1,0.4,1,6.38,1,0,0.7,0.1,0.1,0.4,0,0.3,0.5,23,84,0,1.6,0,1.1,1
Gian Marco Ferrari,Sassuolo,30,24,1804,0.9,0.8,0.8,0.9,3.1,0.7,0,6.39,1,0,0.3,0,0,1,0,0,0.3,39.6,85.7,0,3.3,0,1.5,0
Pablo Fornals,West Ham,27,30,1180,0.9,0.5,0.5,0,0.3,0.1,0,6.48,2,1,0.8,0.7,0.5,0.2,0,0.5,0.6,21.9,77.3,0.4,1.5,0.1,0.3,2
Mërgim Vojvoda,Torino,28,26,1270,1,0.4,0.7,0,0.8,0,0,6.39,0,4,0.6,0.6,0.4,0.3,0,0.6,0.5,29.8,78.5,0.1,1.3,0.1,0.4,0
Mattia De Sciglio,Juventus,30,23,1251,0.7,0.3,0.3,0.2,0.8,0.1,0,6.37,0,0,0.3,0.5,0.2,0.5,0,0.4,0.5,26.3,82.4,0.3,1.3,0,0.5,0
Luca Caldirola,Monza,32,23,1692,0.7,0.8,1,0.4,1.8,0.4,0,6.39,0,0,0.3,0.2,0,0.9,0,0,0.1,44.7,88.2,0,1.9,0,1.3,0
Giacomo Raspadori,Napoli,23,30,1230,0.4,0.2,0.3,0,0.1,0,0,6.63,7,2,1.6,0.7,0.2,0.5,0.1,0.5,1.2,17.4,76.6,0.4,1,0,0.1,1
Yasser Larouci,Troyes,22,22,1233,0.6,0.8,0.5,0,0.9,0,1,6.39,1,0,0.4,0.6,1.1,0.8,0,1.3,1.2,20.4,77.3,0.4,0.4,0.1,0.6,0
Filip Uremovic,Hertha Berlin,26,18,1451,1.6,1.7,1.3,0.6,3.7,0.6,0,6.39,0,0,0.4,0.2,0.1,0.3,0,0.2,0.4,31.7,80,0.1,0.9,0,2.8,0
Antonín Barák,Fiorentina,28,34,1598,0.8,0.1,0.3,0,0.3,0,0,6.35,4,0,1,0.7,0.6,0.4,0.1,1,1.1,22.9,83.8,0.1,0.8,0,0.6,0
Álvaro Negredo,Cadiz,37,16,618,0.3,0,0.3,0,0.4,0.1,0,6.38,1,2,0.9,0.4,0.3,0.4,0.3,0.4,0.9,8.6,59.4,0,0.4,0.1,1.6,1
Thomas Henry,Verona,28,16,1038,0.3,0,1.7,0,0.9,0.1,0,6.38,2,0,1.1,0.8,0.2,1,0.6,1.6,3.3,13.5,53.2,0,0.3,0.1,2.9,1
Romano Schmid,Werder Bremen,23,25,1200,1,0.4,0.4,0.1,0.4,0.1,0,6.38,1,3,0.5,0.8,0.6,0.8,0,0.8,1.5,24.8,72.9,0.1,0.9,0.1,0.5,0
Lucas Digne,Aston Villa,29,27,1580,1.3,0.7,0.7,0.2,1.4,0.2,1,6.44,2,0,0.4,0.7,0.2,0.8,0.1,0.4,0.7,30.5,79,0.6,1.1,0,1,0
Gerrit Holtmann,Bochum,28,21,872,0.7,0.1,0.4,0.1,0.1,0.1,0,6.38,1,1,1.4,0.5,0.7,0.3,0.2,0.7,1.5,10.4,69.2,0.3,0.1,0,0.7,0
Fernando Calero,Espanyol,27,20,1247,1.7,0.5,0.8,0.3,2,0.5,0,6.38,0,0,0.3,0.2,0.1,0.4,0.1,0.2,0.5,26.9,81,0,1.9,0,1.2,0
Chumi,Almeria,24,17,1195,1.4,0.9,0.5,0.8,2.2,0.3,0,6.38,1,0,0.1,0,0.3,0.2,0,0.4,0.5,32.7,81.8,0.1,1.4,0,0.6,0
Erik Palmer-Brown,Troyes,25,30,2474,1.2,0.7,0.8,0.5,4.3,0.7,1,6.38,0,0,0.3,0.2,0.2,0.4,0,0.3,0.2,38.4,84.3,0,2,0,1.6,0
Orel Mangala,Nottingham Forest,25,24,1253,0.9,0.8,0.8,0,0.5,0.2,0,6.35,1,0,0.3,0.2,0.6,0.8,0,0.6,0.4,18.8,82.6,0,0.5,0,0.3,0
Pedro Obiang,Sassuolo,31,15,710,1.7,0.5,0.9,0,0.7,0.1,0,6.38,0,1,0.3,0.1,0.1,0.4,0,0.1,0.3,22.8,82.5,0,1.7,0,0.9,0
Iddrisu Baba,Mallorca,27,22,1236,1.3,0.4,1.4,0.1,0.9,0.2,0,6.38,0,0,0.5,0.3,0.5,1.2,0,0.8,1.1,21.5,83,0,1.5,0,1.2,0
Ilaix Moriba,Valencia,20,20,771,1.4,0.2,1.5,0,0.6,0.1,0,6.38,0,1,0.9,0.5,0.6,1.3,0,0.5,1.1,19.4,80.7,0.1,1,0.1,0.9,1
Cédric Hountondji,Angers,29,33,2632,1.4,1.5,1.2,0.6,3.5,0.7,1,6.38,0,0,0.3,0.1,0,0.2,0,0.1,0.3,41.5,86.7,0,2.3,0,1.7,0
Alexander Schwolow,Schalke,30,18,1530,0,0.1,0,0,0.6,0,0,6.38,0,0,0.1,0.1,0,0.2,0,0,0,33.8,63.7,0,9.4,0,0.2,0
Remo Freuler,Nottingham Forest,30,43,3449,1.7,1,1,0,1.3,0.3,0,6.49,2,1,0.5,0.4,0.3,0.5,0,0.3,1.1,33.4,81.3,0.1,1,0,0.8,0
Luka Jovic,Fiorentina,25,38,1410,0.2,0.1,0.6,0,0.3,0.1,0,6.40,9,0,1.6,0.6,0.2,0.4,0.3,0.7,0.8,8.1,73.2,0,0.4,0,0.9,1
Christophe Hérelle,Brest,30,16,1060,0.6,1.3,0.8,0.3,2.9,0.7,1,6.38,0,0,0.2,0.2,0.1,0.9,0,0.1,0.2,26.9,86.3,0,1.8,0,0.7,0
Cristian Gamboa,Bochum,33,16,1279,2.5,0.9,0.9,0.2,1.9,0.4,1,6.38,0,0,0.5,0.6,0.3,0.3,0.1,0.3,0.6,30.1,67,0.7,3.7,0,0.8,0
Álex Fernández,Cadiz,30,24,1448,0.5,0.3,0.3,0,0.7,0,0,6.38,3,0,0.6,0.6,0.1,0.6,0,1,0.7,25.7,87,0.3,1.4,0,0.5,1
Joan Jordán,Sevilla,28,33,1990,1.2,0.7,1.1,0,0.5,0.4,0,6.39,2,1,0.4,0.3,0.3,0.7,0,0.4,0.6,44.1,88.8,0,3.3,0.1,0.5,0
Cyrille Bayala,AC Ajaccio,26,29,1651,1.7,0.8,0.9,0,0.4,0.1,0,6.37,1,1,0.8,0.6,0.7,0.7,0.2,1.2,1.8,17.9,64.5,0.1,0.4,0,1.2,0
Jaidon Anthony,Bournemouth,23,27,1334,1.3,0.4,0.5,0,0.5,0,0,6.47,4,0,1,0.5,0.7,0.5,0.2,0.8,1.1,18.8,78.6,0.3,0.7,0,0.3,0
Ruben Aguilar,Monaco,29,19,1041,0.9,0.8,0.7,0,1.2,0.1,0,6.35,0,0,0.2,0.2,0.2,0.7,0.1,0.2,0.7,31.3,84.1,0.4,0.8,0,0.5,0
Dominick Drexler,Schalke,32,21,1076,1,0.2,1.1,0,0.4,0.1,0,6.37,6,3,0.7,0.8,0.3,1,0.1,0.8,1.1,16.4,69.1,0.4,0.4,0,0.9,1
Philippe Coutinho,Aston Villa,30,22,854,1,0.2,0.8,0,0,0,0,6.42,1,0,1.1,0.5,0.7,0.9,0.1,0.9,1.1,18.6,78,0.1,0.5,0.1,0.2,0
Miguel Veloso,Verona,36,19,1020,1.3,0.3,0.8,0,0.5,0.3,1,6.37,0,0,0.7,0.9,0.2,0.4,0,0.4,0.3,24.8,77.5,1,1.8,0.1,0.7,0
Andrea Consigli,Sassuolo,36,27,2430,0,0,0,0,0.8,0,0,6.37,0,0,0,0,0,0.1,0,0,0,37,75.4,0,8.6,0,0.3,1
Oumar Gonzalez,AC Ajaccio,25,23,1949,1.7,1.7,1.3,0.6,2.3,0.4,0,6.37,0,0,0.4,0,0.2,1.5,0.1,0.4,0.7,37.3,82,0,1.4,0,2.1,0
Cristian Buonaiuto,Cremonese,30,24,682,0.7,0.5,0.5,0,0.2,0,0,6.37,0,0,1.5,0.7,0.8,0.7,0,0.8,1.1,13.2,71.5,0.7,0.4,0,0.2,0
Cyriel Dessers,Cremonese,28,28,1681,0.4,0.1,1.5,0,0.2,0.1,0,6.53,9,3,2.2,1,0.5,0.5,0.8,1,2.1,11.3,64.9,0.1,0.3,0,0.6,0
Angelo Stiller,Hoffenheim,22,19,604,1.3,0.5,0.5,0.1,0.4,0.1,0,6.37,1,1,0.3,0.2,0.1,0.2,0,0.6,0.8,16.7,76.1,0.1,0.7,0.1,0.7,0
Ibrahima Koné,Lorient,23,32,981,0.3,0.1,0.8,0,0.3,0,0,6.37,4,1,0.6,0.4,0.3,0.6,0.3,0.6,1.5,8.1,65.1,0,0,0,1.6,0
Marlon Santos,Monza,27,22,1278,1.4,0.9,1,0.2,1.8,0.1,1,6.37,0,0,0.2,0.1,0.1,0.3,0,0.1,0.2,40.5,92.2,0.2,1.3,0,1.5,0
Pablo Rosario,Nice,26,26,1307,1.4,0.7,0.8,0.2,0.9,0.2,0,6.36,0,1,0.3,0.7,0.1,0.4,0,0.3,0.6,31.3,89.2,0.1,1.5,0,0.5,0
Nampalys Mendy,Leicester,30,28,1038,0.8,0.8,0.7,0,0.2,0.2,0,6.33,1,0,0.2,0.2,0.3,0.6,0,0,0.6,28.5,88.9,0,1.4,0,0.2,0
Alberto Moreno,Villarreal,30,18,889,0.7,0.9,1.3,0.1,1.3,0.1,0,6.36,0,0,0.5,0.6,0.3,0.3,0.1,0.1,0.6,25.5,83.3,0.5,0.4,0,0.6,0
Mohamed Bayo,Lille,24,24,564,0.1,0,0.5,0,0,0,0,6.36,5,1,1,0.5,0.4,0.2,0.3,0.6,0.9,5.3,63.4,0,0.1,0,0.6,0
Mads Pedersen,Augsburg,26,22,1267,1.7,0.9,0.7,0.1,1.3,0.3,0,6.36,1,0,0.1,0.3,0.3,0.7,0,0.5,1.2,16,73.5,0.3,0.7,0,0.3,0
Dimitrios Nikolaou,Spezia,24,28,2305,1.3,0.8,0.7,0.4,2.3,0.9,0,6.36,0,0,0.3,0.3,0.3,0.6,0,0.3,0.5,46.9,82.4,0.1,3.1,0,0.7,0
Jacob Murphy,Newcastle,28,36,1091,0.3,0.1,0.2,0,0.1,0,0,6.33,1,2,0.7,0.5,0.4,0.3,0.1,0.6,0.4,9.3,74.9,0.3,0.3,0,0.1,0
Raúl García,Athletic Bilbao,36,30,717,0.4,0.2,0.4,0,0.3,0,0,6.36,3,2,1.4,0.2,0.2,0.6,0.3,0.2,0.3,8.3,65.9,0.1,0.4,0,0.9,0
Souleyman Doumbia,Angers,26,23,1751,2,1.2,1.2,0.5,0.9,0.1,0,6.36,0,0,0.3,0.5,1,0.9,0.1,0.4,1.1,32.8,79.9,0.5,1,0,0.7,0
Enzo Millot,Stuttgart,20,19,566,0.8,0.6,0.8,0,0.4,0.1,0,6.36,1,1,0.6,0.6,0.7,0.8,0,0.6,0.8,13.8,81.6,0.2,0.1,0,0.3,1
Billal Brahimi,Nice,23,25,575,0.2,0.1,0.1,0,0,0,0,6.36,4,2,0.9,0.7,0.4,0.2,0.2,0.5,0.9,10.7,84,0.6,0.2,0,0,1
